code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
22-00008,0,0,0,0,0,0,0
22-00018,0,0,0,0,0,0,0
22-00120,44100,0,0,0,0,44100,44100
22-00126,14160,0,0,0,0,14160,14160
22-00141,1500,0,0,0,0,1500,1500
22-00162,380,0,0,0,0,380,380
22-00163,4940,0,0,0,0,4940,4940
22-00164,9120,0,0,0,0,9120,9120
22-00165,18920,0,9120,0,0,28040,18920
22-00166,5844,0,0,0,0,5844,5844
22-00167,1026,0,0,0,0,1026,1026
22-00168,3480,0,0,0,0,3480,3480
22-00170,3770,0,3480,0,0,7250,3770
22-00171,0,0,0,0,0,0,0
22-00172,2320,0,0,0,0,2320,2320
22-00174,12300,0,0,0,0,12300,12300
22-00175,5070,0,0,0,0,5070,5070
22-00176,1920,0,0,0,0,1920,1920
22-00177,1560,0,0,0,0,1560,1560
22-00179,3400,0,0,0,0,3400,3400
22-00180,1600,0,0,0,0,1600,1600
22-00181,2200,0,0,0,0,2200,2200
22-00183,6160,0,0,0,0,6160,6160
22-00184,3424,0,0,0,0,3424,3424
22-00185,3750,0,0,0,0,3750,3750
22-00186,2400,0,0,0,0,2400,2400
22-00187,2360,0,0,0,0,2360,2360
22-00188,250,0,0,0,0,250,250
22-00189,2200,0,0,0,0,2200,2200
22-00192,1960,0,0,0,0,1960,1960
22-00197,648,0,0,0,0,648,648
22-00198,1440,0,0,0,0,1440,1440
22-00201,5520,0,0,0,0,5520,5520
22-00202,1008.9,0,0,0,0,1008.9,1008.9
22-00203,1496.34,0,0,0,0,1496.34,1496.34
22-00204,3360,0,0,0,0,3360,3360
22-00205,3800,0,0,0,0,3800,3800
22-00206,4549.89,0,0,0,0,4549.89,4549.89
22-00212,800,0,0,0,0,800,800
22-00215,1800,0,0,0,0,1800,1800
22-00216,3217.5,0,0,0,0,3217.5,3217.5
22-00218,2450,0,0,0,0,2450,2450
22-00219,2925,0,0,0,0,2925,2925
22-00220,6173.08,0,0,0,0,6173.08,6173.08
22-00221,1740,0,0,0,0,1740,1740
22-00234,7500,0,0,0,0,7500,7500
22-00244,0,0,0,0,0,0,0
22-00246,0,0,0,0,0,0,0
22-00249,1920,0,0,0,0,1920,1920
22-00253,0,0,0,0,0,0,0
22-00272,0,0,0,0,0,0,0
22-00275,0,0,0,0,0,0,0
22-00277,0,0,0,0,0,0,0
22-00278,0,0,0,0,0,0,0
22-00279,5520,0,0,0,0,5520,5520
22-00298,0,0,0,0,0,0,0
22-00321,0,0,0,0,0,0,0
22-00322,0,0,0,0,0,0,0
22-00370,0,0,0,0,0,0,0
22-00403,0,0,0,0,0,0,0
22-00568,0,0,0,0,0,0,0
22-00606,0,0,0,0,0,0,0
22-00607,20000,0,0,0,0,20000,20000
22-00644,0,0,0,0,0,0,0
22-00659,0,0,0,0,0,0,0
22-00660,0,0,0,0,0,0,0
22-00661,0,0,0,0,0,0,0
22-00721,0,0,0,0,0,0,0
22-00742,1500,0,0,0,0,1500,1500
22-00778,0,0,0,0,0,0,0
22-00784,10500,0,0,0,0,10500,10500
M22-10,0,0,0,0,0,0,0
M22-11,0,0,0,0,0,0,0
M22-12,0,0,0,0,0,0,0
M22-14,0,0,0,0,0,0,0
M22-15,0,0,0,0,0,0,0
M22-16,0,0,0,0,0,0,0
M22-17,20800,0,0,0,0,20800,20800
M22-19,0,0,0,0,0,0,0
M22-2,12130,0,0,0,0,12130,12130
M22-20,0,0,0,0,0,0,0
M22-26,0,0,0,0,0,0,0
M22-27,0,0,0,0,0,0,0
M22-29,0,0,0,0,0,0,0
M22-3,0,0,760,380,0,380,0
M22-30,0,0,0,0,0,0,0
M22-32,0,0,0,0,0,0,0
M22-33,0,0,0,0,0,0,0
M22-34,0,0,0,0,0,0,0
M22-35,0,0,0,0,0,0,0
M22-36,0,0,0,0,0,0,0
M22-37,0,0,0,0,0,0,0
M22-38,0,0,0,0,0,0,0
M22-39,26500,0,0,0,0,26500,26500
M22-4,17150,0,0,0,0,17150,17150
"สายคล้องแขน(arm sling) 2-5 ขวบ",360,0,0,0,0,360,360
"สายคล้องแขน(arm sling) 5-7 ขวบ (SS)",360,0,0,0,0,360,360
