code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
01-00001,0,0,0,0,0,0,0
01-00004,3575,6500,0,0,4875,5200,5200
01-00010,0,1560,0,0,0,1560,1560
01-00011,2600,1560,0,0,130,4030,4030
01-00012,2080,3120,1170,0,130,6240,5070
01-00013,2340,1560,0,0,260,3640,3640
01-00014,520,0,0,0,0,520,520
01-00015,1300,0,0,0,130,1170,1170
01-00019,4930,0,0,0,360,4570,4570
01-00020,5850,0,1404,0,1716,5538,4134
01-00021,710,0,0,0,120,590,590
01-00022,413,0,0,0,118,295,295
01-00023,680,0,0,0,0,680,680
01-00024,0,600,0,0,0,600,600
01-00025,325,0,0,0,75,250,250
01-00026,30,0,0,0,0,30,30
01-00027,272,0,0,0,153,119,119
01-00028,1422,900,395,0,395,2322,1927
01-00029,70,0,0,0,0,70,70
01-00030,0,0,0,0,0,0,0
01-00031,294,588,0,0,245,637,637
01-00032,70,210,0,0,0,280,280
01-00034,380,800,0,0,180,1000,1000
01-00035,350,0,0,0,0,350,350
01-00036,754,0,58,0,58,754,696
01-00037,463,0,0,0,0,463,463
01-00038,494,0,38,0,152,380,342
01-00039,550,2410,0,0,550,2410,2410
01-00041,977,0,0,0,99,878,878
01-00042,2367,0,0,0,378,1989,1989
01-00043,360,576,60,0,408,588,528
01-00044,126,108,0,0,0,234,234
01-00045,203,0,0,0,0,203,203
01-00046,1925,0,0,0,0,1925,1925
01-00047,945,0,0,0,0,945,945
01-00048,440,0,0,0,0,440,440
01-00049,50,190,0,0,0,240,240
01-00051,140,0,0,0,0,140,140
01-00053,36,0,0,0,0,36,36
01-00054,48,0,0,0,24,24,24
01-00056,196,0,0,0,0,196,196
01-00057,200,0,0,0,0,200,200
01-00058,199,0,0,0,0,199,199
01-00059,38,0,0,0,0,38,38
01-00060,600,0,0,0,0,600,600
01-00061,175,600,0,0,175,600,600
01-00062,280,800,80,0,200,960,880
01-00065,491,0,0,0,0,491,491
01-00067,138,0,0,0,46,92,92
01-00068,270,0,0,0,85,185,185
01-00070,144,0,0,0,0,144,144
01-00071,195,180,0,0,60,315,315
01-00072,300,0,0,0,0,300,300
01-00073,130,156,0,0,104,182,182
01-00074,65,156,0,0,39,182,182
01-00075,13,156,0,0,0,169,169
01-00076,50,250,0,0,100,200,200
01-00077,481,0,0,0,75,406,406
01-00078,125,175,0,0,50,250,250
01-00080,0,0,0,0,0,0,0
01-00081,455,0,0,0,0,455,455
01-00082,0,320,0,0,0,320,320
01-00083,275,0,0,0,0,275,275
01-00084,408,0,0,0,0,408,408
01-00085,1150,250,0,0,50,1350,1350
01-00086,170,440,0,0,40,570,570
01-00087,324,324,0,0,189,459,459
01-00089,0,0,0,0,0,0,0
01-00090,2400,0,0,0,2400,0,0
01-00091,10400,0,0,0,0,10400,10400
01-00092,0,0,0,0,0,0,0
01-00094,21000,0,0,0,7000,14000,14000
01-00095,4200,0,0,0,1200,3000,3000
01-00096,13200,0,0,0,0,13200,13200
01-00097,14950,0,0,0,0,14950,14950
01-00099,58150,0,0,0,2100,56050,56050
01-00100,302.45,0,0,0,0,302.45,302.45
01-00101,4312,0,0,0,147,4165,4165
01-00103,1786,0,0,0,342,1444,1444
01-00104,4320,0,0,0,0,4320,4320
01-00108,500,0,0,0,0,500,500
01-00109,9540,0,0,0,0,9540,9540
01-00111,6160,0,0,0,440,5720,5720
01-00112,3850,0,0,0,0,3850,3850
01-00113,9440,0,0,0,0,9440,9440
01-00114,12441,0,0,0,330,12111,12111
01-00117,0,0,0,0,0,0,0
01-00126,14300,22000,0,0,11110,25190,25190
01-00127,0,0,0,0,0,0,0
01-00128,450,175,50,0,50,625,575
