code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
01-00130,22545.92,0,0,190.43,684.99,21670.5,21860.93
01-00136,390,0,0,0,0,390,390
01-00137,0,0,0,0,0,0,0
01-00144,900,275,0,0,60,1115,1115
01-00149,0,2100,0,0,0,2100,2100
01-00152,0,0,0,0,0,0,0
01-00153,0,100,0,0,0,100,100
01-00167,270,0,0,0,0,270,270
01-00169,0,0,0,0,0,0,0
01-00173,0,750,0,0,0,750,750
01-00176,0,0,0,0,0,0,0
01-00177,0,0,0,0,0,0,0
01-00192,650,0,585,0,0,1235,650
01-00193,0,0,0,0,0,0,0
01-00199,0,0,0,0,0,0,0
01-00200,2600,0,0,0,0,2600,2600
01-00203,0,0,0,0,0,0,0
01-00205,0,0,0,0,0,0,0
01-00206,0,0,0,0,0,0,0
01-00207,7800,0,0,0,2600,5200,5200
01-00208,0,0,0,0,0,0,0
01-00216,0,60,0,0,0,60,60
01-00221,0,0,0,0,0,0,0
01-00227,0,0,0,0,0,0,0
01-00230,0,130,0,0,0,130,130
01-00246,0,0,0,0,0,0,0
01-00250,12570,0,0,12570,0,0,12570
01-00261,0,0,0,0,0,0,0
01-00277,0,1373,0,0,0,1373,1373
01-00279,0,0,0,0,0,0,0
01-00282,0,0,0,0,0,0,0
01-00285,0,70,0,0,0,70,70
M1-1,70,0,0,35,35,0,35
M1-10,0,0,0,0,0,0,0
M1-11,1560,357,0,0,85,1832,1832
M1-12,10800,0,0,0,1200,9600,9600
M1-13,55,0,0,0,0,55,55
M1-14,0,0,0,0,0,0,0
M1-15,0,0,0,0,0,0,0
M1-16,0,0,0,0,0,0,0
M1-17,0,0,0,0,0,0,0
M1-18,0,0,0,0,0,0,0
M1-19,0,0,0,0,0,0,0
M1-2,0,0,0,0,0,0,0
M1-20,2975,0,70,0,0,3045,2975
M1-22,0,74,0,0,0,74,74
M1-3,40290,0,0,40290,0,0,40290
M1-5,0,4194,0,0,4194,0,0
M1-9,0,0,0,0,0,0,0
M100002,780,0,0,0,130,650,650
