code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
04-00003,0,0,0,0,0,0,0
04-00004,0,0,0,0,0,0,0
04-00013,0,250,0,0,250,0,0
04-00014,0,0,0,0,0,0,0
04-00020,0,1560,0,0,1560,0,0
04-00021,0,600,0,0,600,0,0
04-00023,0,0,0,0,0,0,0
04-00024,0,0,0,0,0,0,0
04-00034,0,0,0,0,0,0,0
04-00041,0,0,0,0,0,0,0
04-00048,0,0,0,0,0,0,0
04-00051,0,0,0,0,0,0,0
04-00054,0,0,0,0,0,0,0
04-00055,0,0,0,0,0,0,0
04-00059,0,0,0,0,0,0,0
04-00060,0,0,0,0,0,0,0
04-00061,0,780,0,0,780,0,0
04-00062,0,0,0,0,0,0,0
04-00064,0,150,0,0,150,0,0
04-00065,0,310,0,0,310,0,0
04-00066,25,170,0,25,170,0,25
04-00068,0,0,0,0,0,0,0
04-00069,665,40,0,705,0,0,705
04-00070,0,1170,0,0,1170,0,0
04-00071,0,2570,0,0,2570,0,0
04-00073,0,1350,0,0,1350,0,0
04-00074,0,0,0,0,0,0,0
04-00076,0,0,0,0,0,0,0
04-00078,0,0,0,0,0,0,0
04-00081,0,240,0,0,240,0,0
04-00082,0,0,0,0,0,0,0
04-00085,0,0,0,0,0,0,0
04-00086,0,0,0,0,0,0,0
04-00094,0,0,0,0,0,0,0
04-00096,0,0,0,0,0,0,0
04-00098,0,0,0,0,0,0,0
04-00099,0,1270,0,0,1270,0,0
04-00100,0,0,0,0,0,0,0
04-00105,0,360,0,0,360,0,0
04-00106,0,220,0,0,220,0,0
04-00111,0,0,0,0,0,0,0
04-00113,0,0,0,0,0,0,0
04-00114,0,0,0,0,0,0,0
04-00119,0,0,0,0,0,0,0
04-00121,0,680,0,0,680,0,0
04-00122,0,0,0,0,0,0,0
04-00123,0,2040,0,0,2040,0,0
04-00125,0,520,0,0,520,0,0
04-00126,0,120,0,0,120,0,0
04-00127,0,0,0,0,0,0,0
04-00128,120,0,0,120,0,0,120
04-00133,0,0,0,0,0,0,0
04-00138,0,0,0,0,0,0,0
04-00140,0,0,0,0,0,0,0
04-00145,0,0,0,0,0,0,0
04-00154,980,220,0,1200,0,0,1200
04-00155,0,0,0,0,0,0,0
04-00156,0,120,0,0,120,0,0
04-00157,0,60,0,0,60,0,0
04-00164,0,0,0,0,0,0,0
04-00170,0,0,0,0,0,0,0
04-00174,0,0,0,0,0,0,0
04-00179,0,0,0,0,0,0,0
04-00183,0,1405,0,0,1405,0,0
04-00185,0,0,0,0,0,0,0
04-00186,0,0,0,0,0,0,0
04-00193,0,0,0,0,0,0,0
04-00202,0,0,0,0,0,0,0
04-00209,0,0,0,0,0,0,0
04-00216,0,0,0,0,0,0,0
04-00220,0,0,0,0,0,0,0
04-00224,0,0,0,0,0,0,0
04-00235,0,900,0,0,900,0,0
04-00243,0,0,0,0,0,0,0
04-00248,0,0,0,0,0,0,0
04-00255,0,0,0,0,0,0,0
04-00256,0,1440,0,0,1440,0,0
04-00258,0,140,0,0,140,0,0
04-00260,0,0,0,0,0,0,0
04-00265,0,0,0,0,0,0,0
04-00266,0,0,0,0,0,0,0
04-00268,0,0,0,0,0,0,0
04-00271,0,0,0,0,0,0,0
04-00272,0,0,0,0,0,0,0
04-00273,0,3430,0,0,3430,0,0
04-00274,0,0,0,0,0,0,0
04-00279,0,0,0,0,0,0,0
04-00280,0,500,0,0,500,0,0
04-00281,0,0,0,0,0,0,0
04-00293,0,0,0,0,0,0,0
04-00302,0,0,0,0,0,0,0
04-00304,0,0,0,0,0,0,0
04-00305,0,0,0,0,0,0,0
04-00307,0,1080,0,0,1080,0,0
04-00309,0,0,0,0,0,0,0
04-00310,0,0,0,0,0,0,0
04-00313,0,0,0,0,0,0,0
04-00317,0,0,0,0,0,0,0
04-00320,0,0,0,0,0,0,0
04-00327,0,90,0,0,90,0,0
04-00328,0,180,0,0,180,0,0
04-00329,0,0,0,0,0,0,0
04-00334,0,610,0,0,610,0,0
04-00337,0,0,0,0,0,0,0
04-00339,0,870,0,0,870,0,0
04-00340,0,350,0,0,350,0,0
04-00341,0,250,0,0,250,0,0
04-00346,0,0,0,0,0,0,0
04-00347,0,0,0,0,0,0,0
M4-10,0,0,0,0,0,0,0
M4-11,0,0,0,0,0,0,0
M4-12,0,0,0,0,0,0,0
M4-13,0,0,0,0,0,0,0
M4-14,0,0,0,0,0,0,0
M4-15,0,0,0,0,0,0,0
M4-16,0,0,0,0,0,0,0
M4-17,0,0,0,0,0,0,0
M4-18,0,0,0,0,0,0,0
M4-19,0,0,0,0,0,0,0
M4-20,0,0,0,0,0,0,0
M4-21,0,0,0,0,0,0,0
M4-22,0,0,0,0,0,0,0
M4-23,0,0,0,0,0,0,0
M4-24,0,0,0,0,0,0,0
M4-4,0,0,0,0,0,0,0
M4-5,0,0,0,0,0,0,0
M4-6,0,200,0,0,200,0,0
M4-7,0,0,0,0,0,0,0
M4-8,0,0,0,0,0,0,0
M4-9,0,0,0,0,0,0,0
M400004,0,1450,0,0,1450,0,0
M400010,0,0,0,0,0,0,0
M400014,0,0,0,0,0,0,0
