code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
07-00368,10700,0,0,0,0,10700,10700
07-00369,10700,0,0,0,0,10700,10700
07-00374,750,0,0,0,0,750,750
07-00376,14700,0,0,0,2100,12600,12600
07-00377,13300,0,0,0,0,13300,13300
07-00386,600,0,0,0,600,0,0
07-00387,0,0,0,0,0,0,0
07-00388,0,0,0,0,0,0,0
07-00389,3500,0,0,0,0,3500,3500
07-00390,0,0,0,0,0,0,0
07-00392,1150,0,0,0,0,1150,1150
07-00394,9000,0,0,0,0,9000,9000
07-00395,4000,0,0,0,0,4000,4000
07-00396,8640,0,0,0,0,8640,8640
07-00397,0,0,0,0,0,0,0
07-00398,0,0,0,0,0,0,0
07-00400,805,0,0,0,0,805,805
07-00401,0,0,0,0,0,0,0
07-00403,0,0,0,0,0,0,0
07-00405,2520,0,0,0,0,2520,2520
07-00408,0,0,0,0,0,0,0
07-00411,4350,0,0,0,0,4350,4350
07-00412,8500,0,0,0,0,8500,8500
07-00413,8500,0,0,0,0,8500,8500
07-00414,0,0,0,0,0,0,0
07-00415,30000,0,0,0,10000,20000,20000
07-00416,9300,0,0,0,9300,0,0
07-00418,74000,0,0,0,0,74000,74000
07-00419,680,0,0,0,0,680,680
07-00420,0,0,0,0,0,0,0
07-00422,5550,0,0,0,0,5550,5550
07-00424,0,0,0,0,0,0,0
07-00426,0,0,0,0,0,0,0
M7-1,0,0,0,0,0,0,0
M7-12,3000,0,0,0,0,3000,3000
M7-13,0,0,0,0,0,0,0
M7-14,0,0,0,0,0,0,0
M7-15,0,0,0,0,0,0,0
M7-16,2345,0,0,0,0,2345,2345
M7-17,0,0,0,0,0,0,0
M7-18,0,0,0,0,0,0,0
M7-19,500,0,0,0,0,500,500
M7-2,17000,0,0,0,0,17000,17000
M7-20,3300,0,0,0,0,3300,3300
M7-21,0,0,0,0,0,0,0
M7-23,0,0,0,0,0,0,0
M7-24,16176.81,0,0,0,0,16176.81,16176.81
M7-25,0,0,0,0,0,0,0
M7-26,0,0,0,0,0,0,0
M7-27,10000,0,0,0,0,10000,10000
M7-28,0,0,0,0,0,0,0
M7-29,0,0,0,0,0,0,0
M7-3,9250,0,0,0,0,9250,9250
M7-30,0,0,0,0,0,0,0
M7-32,3500,0,0,0,0,3500,3500
M7-33,4000,0,0,0,0,4000,4000
M7-34,0,0,0,0,0,0,0
M7-5,0,0,0,0,0,0,0
M7-6,42500,0,0,0,0,42500,42500
