code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
07-00003,1145.6,0,0,0,32,1113.6,1113.6
07-00004,750,0,0,0,750,0,0
07-00005,68822.4,0,0,0,342.4,68480,68480
07-00006,59577.6,0,0,0,4793.6,54784,54784
07-00008,4000,0,0,0,0,4000,4000
07-00016,775.75,0,0,0,0,775.75,775.75
07-00017,0,0,0,0,0,0,0
07-00018,0,0,0,0,0,0,0
07-00019,0,0,0,0,0,0,0
07-00020,400,0,0,0,0,400,400
07-00021,560,0,0,0,0,560,560
07-00022,240,0,0,0,0,240,240
07-00023,1000,0,0,0,0,1000,1000
07-00024,0,0,0,0,0,0,0
07-00025,0,0,0,0,0,0,0
07-00026,10400,0,0,0,2080,8320,8320
07-00027,29479.74,0,0,0,6760,22719.74,22719.74
07-00028,750,0,0,0,750,0,0
07-00031,6800,0,0,0,0,6800,6800
07-00034,1650,0,0,0,0,1650,1650
07-00035,414,0,0,0,0,414,414
07-00037,600,0,0,0,600,0,0
07-00038,600,0,0,0,600,0,0
07-00039,0,0,0,0,0,0,0
07-00041,600,0,0,0,600,0,0
07-00042,900,0,0,0,750,150,150
07-00044,0,0,0,0,0,0,0
07-00045,0,0,0,0,0,0,0
07-00048,1036,0,0,0,0,1036,1036
07-00050,0,0,0,0,0,0,0
07-00052,1065,0,0,0,0,1065,1065
07-00063,882,0,0,0,21,861,861
07-00065,0,0,0,0,0,0,0
07-00067,0,0,0,0,0,0,0
07-00068,600,0,0,0,600,0,0
07-00073,500,0,0,0,0,500,500
07-00076,1500,0,0,0,0,1500,1500
07-00078,0,0,0,0,0,0,0
07-00080,540,0,0,0,0,540,540
07-00083,1947,0,0,0,0,1947,1947
07-00086,2623,0,0,0,61,2562,2562
07-00093,3000,0,0,0,0,3000,3000
07-00095,0,0,0,0,0,0,0
07-00096,5191.2,0,0,0,873.6,4317.6,4317.6
07-00097,1400,0,0,0,0,1400,1400
07-00104,28050,15400,0,0,0,43450,43450
07-00106,0,0,0,0,0,0,0
07-00107,6000,0,0,0,0,6000,6000
07-00108,3926.3,0,0,0,710,3216.3,3216.3
07-00110,1500,0,0,0,0,1500,1500
07-00114,2300,0,0,0,900,1400,1400
07-00115,1300,0,0,0,0,1300,1300
07-00119,0,0,0,0,0,0,0
07-00120,0,0,0,0,0,0,0
07-00121,3000,0,0,0,0,3000,3000
07-00122,2640,0,0,0,1320,1320,1320
07-00123,0,0,0,0,0,0,0
07-00125,1500,0,0,0,0,1500,1500
07-00126,1551,0,0,0,33,1518,1518
07-00129,3600,0,0,0,1800,1800,1800
07-00130,1050,0,0,0,300,750,750
07-00134,2659.6,0,0,0,0,2659.6,2659.6
07-00138,0,0,0,0,0,0,0
07-00141,0,0,0,0,0,0,0
07-00143,700,0,0,0,700,0,0
07-00144,0,0,0,0,0,0,0
07-00145,1500,0,0,0,1500,0,0
07-00146,0,0,0,0,0,0,0
07-00147,3322.5,0,0,0,240,3082.5,3082.5
07-00150,0,0,0,0,0,0,0
07-00154,1240,0,0,0,0,1240,1240
07-00159,0,0,0,0,0,0,0
07-00160,750,0,0,0,0,750,750
07-00161,300,0,0,0,150,150,150
07-00165,3100,0,0,0,0,3100,3100
07-00167,2290.4,0,0,0,123.2,2167.2,2167.2
07-00168,1920,0,0,0,1080,840,840
07-00169,700,0,0,0,1400,-700,-700
07-00174,0,0,0,0,0,0,0
07-00181,0,0,0,0,0,0,0
07-00182,150,0,0,0,150,0,0
07-00184,2100,0,0,0,700,1400,1400
07-00185,500,0,0,0,0,500,500
07-00190,0,0,0,0,0,0,0
07-00193,1000,0,0,0,250,750,750
07-00194,2000,0,0,0,0,2000,2000
07-00196,700,0,0,0,1400,-700,-700
07-00198,0,0,0,0,0,0,0
07-00199,2320,0,0,0,0,2320,2320
07-00200,440,0,0,0,0,440,440
07-00201,500,0,0,0,0,500,500
07-00203,1400,0,0,0,1400,0,0
07-00206,1248.2,0,0,0,0,1248.2,1248.2
07-00207,770,0,0,0,77,693,693
07-00208,7000,0,0,0,3000,4000,4000
07-00210,0,0,0,0,0,0,0
07-00213,0,0,0,0,0,0,0
07-00214,300,0,0,0,0,300,300
07-00218,2040,0,0,0,0,2040,2040
07-00223,1560,0,0,0,0,1560,1560
07-00224,1440,0,0,0,0,1440,1440
07-00225,1360,0,0,0,0,1360,1360
07-00232,5000,0,0,0,0,5000,5000
07-00233,0,0,0,0,0,0,0
07-00237,911.6,0,0,0,159,752.6,752.6
07-00240,700,0,0,0,700,0,0
07-00241,700,0,0,0,700,0,0
07-00251,1000,0,0,0,0,1000,1000
07-00257,0,0,0,0,0,0,0
07-00258,0,0,0,0,0,0,0
07-00259,0,0,0,0,0,0,0
07-00260,700,0,0,0,700,0,0
07-00261,1500,0,0,0,1500,0,0
07-00262,0,0,0,0,0,0,0
07-00358,0,0,0,0,0,0,0
07-00364,12305,0,0,0,12305,0,0
07-00366,9630,0,0,0,0,9630,9630
