code,open_val,in_val,adj_in_val,adj_out_val,out_val,close_val,close_val_no_adj
03-00001,5000,0,0,0,1250,3750,3750
03-00002,8855,5200,568.75,0,4875,9748.75,9180
03-00003,3217.5,1980,495,0,495,5197.5,4702.5
03-00004,14185.83,27600,3395.84,0,27772.5,17409.17,14013.33
03-00006,10920,0,0,0,4550,6370,6370
03-00007,0,0,0,0,0,0,0
03-00010,8750,14000,1750,0,14000,10500,8750
03-00012,195,650,0,0,390,455,455
03-00014,840,0,0,0,0,840,840
03-00015,698.75,0,0,0,325,373.75,373.75
03-00016,1980,0,0,0,0,1980,1980
03-00020,3000,0,0,0,750,2250,2250
03-00024,245,0,0,0,35,210,210
03-00025,2940,2640,275,0,1510,4345,4070
03-00026,2035,1760,0,0,1375,2420,2420
03-00027,1615,0,0,0,0,1615,1615
03-00028,279.17,0,0,0,0,279.17,279.17
03-00029,0,0,0,0,0,0,0
03-00030,29800,0,3370,0,17170,16000,12630
03-00031,4850,0,0,0,50,4800,4800
03-00033,10335,0,0,0,3705,6630,6630
03-00034,52980,0,287.5,0,17615,35652.5,35365
03-00035,6825,0,0,0,1950,4875,4875
03-00036,0,0,0,0,0,0,0
03-00037,129.17,0,0,0,0,129.17,129.17
03-00038,700,1800,24.98,0,1200,1324.98,1300
03-00041,3800.93,0,28.96,97.71,478.83,3253.35,3322.1
03-00042,280.5,0,0,0,0,280.5,280.5
03-00043,250,450,0,0,0,700,700
03-00044,662.5,0,0,0,0,662.5,662.5
03-00045,903,450,50,0,435,968,918
03-00046,409,0,0,0,70,339,339
03-00047,1050,0,0,0,0,1050,1050
03-00049,1030,0,0,0,304.5,725.5,725.5
03-00050,0,510,0,0,85,425,425
03-00051,1387.5,1850,0,0,277.5,2960,2960
03-00053,120,0,0,0,0,120,120
03-00054,760,0,0,0,380,380,380
03-00055,350,0,0,0,0,350,350
03-00056,200,0,0,0,0,200,200
03-00058,0,0,0,0,0,0,0
03-00059,16500,0,1500,0,6000,12000,10500
03-00060,1020,0,0,0,120,900,900
03-00061,800,0,0,0,400,400,400
03-00062,1080,0,0,0,0,1080,1080
03-00063,960,0,0,0,0,960,960
03-00064,3000,0,0,0,2400,600,600
03-00065,5750,1150,0,0,2300,4600,4600
03-00066,0,0,0,0,0,0,0
03-00067,3150,0,0,0,0,3150,3150
03-00068,740,450,40,0,160,1070,1030
03-00069,44,0,0,0,0,44,44
03-00070,120,0,0,0,0,120,120
03-00072,0,0,0,0,0,0,0
03-00073,660,0,0,0,240,420,420
03-00074,70,0,0,0,0,70,70
03-00075,322.5,0,0,0,75,247.5,247.5
03-00076,0,108,0,0,0,108,108
03-00077,1800,0,0,0,0,1800,1800
03-00078,1200,0,0,0,300,900,900
03-00079,2800,0,0,0,0,2800,2800
03-00080,2500,0,0,0,0,2500,2500
03-00081,0,0,0,0,0,0,0
03-00083,747.58,930,99.49,0,1201.25,575.82,476.33
03-00084,7000,0,0,0,1125,5875,5875
03-00086,1271,4320,0,0,713,4878,4878
03-00087,0,1030,0,0,171.67,858.33,858.33
03-00088,3067.92,0,0,0,746.25,2321.67,2321.67
03-00089,2544.17,0,59.16,0,355,2248.33,2189.17
03-00090,360,0,0,0,0,360,360
03-00091,660,0,0,0,68,592,592
03-00092,225,232,0,0,75,382,382
03-00093,3200,0,0,0,0,3200,3200
03-00094,4620,0,0,0,0,4620,4620
03-00095,700,0,0,0,200,500,500
03-00096,2760,1800,0,0,520,4040,4040
03-00097,234,0,0,0,39,195,195
03-00098,0,0,0,0,0,0,0
03-00099,78000,0,0,0,15600,62400,62400
03-00100,49450,0,0,0,2150,47300,47300
03-00101,3960,0,0,0,1320,2640,2640
03-00103,841.04,3300,37.08,0,822.5,3355.62,3318.54
03-00104,138,0,0,0,0,138,138
03-00105,12250,0,0,0,2800,9450,9450
03-00106,10500,0,0,0,350,10150,10150
03-00107,900,0,0,0,0,900,900
03-00108,8960,0,0,0,2880,6080,6080
03-00109,3250,0,0,0,0,3250,3250
03-00111,0,0,0,0,0,0,0
03-00119,11000,0,0,0,550,10450,10450
03-00121,224,0,0,0,0,224,224
03-00122,190,0,0,0,31.67,158.33,158.33
03-00123,0,0,0,0,0,0,0
03-00127,75,0,0,0,0,75,75
03-00129,0,0,0,0,0,0,0
03-00137,0,87,0,0,58,29,29
03-00140,0,0,0,0,0,0,0
03-00141,0,0,0,0,0,0,0
03-00145,0,0,0,0,0,0,0
03-00158,81,0,0,0,0,81,81
03-00159,330,0,0,0,60,270,270
03-00162,14090,0,0,0,0,14090,14090
03-00174,318,0,0,0,0,318,318
03-00182,0,0,0,0,0,0,0
03-00184,1794,0,0,0,138,1656,1656
03-00187,0,10525,0,0,0,10525,10525
03-00190,2950,0,0,0,400,2550,2550
03-00212,0,0,0,0,0,0,0
03-00213,0,0,0,0,0,0,0
03-00216,0,0,0,0,0,0,0
03-00240,0,0,0,0,0,0,0
03-00241,0,0,0,0,0,0,0
03-00250,0,0,0,0,0,0,0
03-00254,0,0,0,0,0,0,0
03-00256,0,0,0,0,0,0,0
03-00268,0,0,0,0,0,0,0
03-00295,300,0,0,0,0,300,300
03-00301,0,174,0,0,0,174,174
03-00309,236,0,82,0,0,318,236
03-00330,0,0,0,0,0,0,0
03-00332,0,0,0,0,0,0,0
03-00333,0,0,0,0,0,0,0
03-00334,0,0,0,0,0,0,0
03-00335,0,0,0,0,0,0,0
03-00337,0,0,0,0,0,0,0
03-00339,8525,0,0,0,478.33,8046.67,8046.67
03-00340,0,0,0,0,0,0,0
03-00350,1750,0,0,0,700,1050,1050
03-00356,0,0,0,0,0,0,0
03-00358,1240,0,0,0,24.8,1215.2,1215.2
03-00359,1015,0,0,0,0,1015,1015
03-00360,0,490,0,0,0,490,490
03-00361,2450,0,0,0,0,2450,2450
03-00374,100,0,0,0,60,40,40
03-00375,120,0,0,0,90,30,30
03-00376,595,0,0,0,0,595,595
03-00380,870,0,0,0,0,870,870
03-00382,0,1980,0,0,0,1980,1980
03-00395,324,0,0,0,162,162,162
03-00396,78,0,0,0,0,78,78
03-00398,0,0,0,0,0,0,0
03-00399,565,875,0,0,565,875,875
03-00400,0,0,0,0,0,0,0
03-00409,0,0,0,0,0,0,0
03-00415,982.67,1800,0,0,653.33,2129.34,2129.34
03-00425,0,0,0,0,0,0,0
03-00434,0,29,0,0,0,29,29
M3-10,0,0,0,0,0,0,0
M3-11,0,0,0,0,0,0,0
M3-12,0,0,0,0,0,0,0
M3-14,1668.33,0,0,0,0,1668.33,1668.33
M3-15,0,0,0,0,0,0,0
M3-16,0,0,0,0,0,0,0
M3-17,0,0,0,0,0,0,0
M3-18,0,0,0,0,0,0,0
M3-2,375,1680,0,0,300,1755,1755
M3-3,75,0,0,0,0,75,75
M3-4,2150,0,0,0,2100,50,50
M3-5,0,0,11400,0,0,11400,0
M3-6,0,0,0,0,0,0,0
M3-7,19030,0,14040,0,0,33070,19030
M3-8,2730,0,0,0,0,2730,2730
M3-9,651.98,0,0,0,0,651.98,651.98
กระติกน้ำ,0,0,0,0,0,0,0
